id_cliente,segmento_cliente,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente,tem_google_maps,tem_ifood,tem_credores,natureza_juridica_cod,fonte_cliente_1,fonte_cliente_2,fonte_cliente_4,fonte_cliente_5,uf_PE,municipio_CARPINA,municipio_CARUARU,municipio_FORTALEZA,municipio_IGARASSU,municipio_IPOJUCA,municipio_JABOATAO DOS GUARARAPES,municipio_OLINDA,municipio_PAULISTA,municipio_RECIFE,credor_alimentos_e_bebidas,credor_financeiro,credor_saúde,credor_bancos_e_financeiro,credor_tecnologia,credor_telecomunicações,credor_distribuição,cnae_divisao,cnae_secao,qtd_pedidos,valor_total_pedidos,valor_medio_pedido,valor_max_pedido,atraso_total,atraso_max,pedidos_com_atraso,score_serasa_negativo,presenca_digital,capital_por_ano,ticket_medio_alto,reputacao_google
5761483341997,Padaria,85000.0,4500.0,2.0,0.0,1.0,150.0,2,0.0,0.0,0.0,0.0,0,1,0,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,6894.44,0,0.0
5763244490925,Japonês & Chinês & Asiático,150000.0,16500.0,0.0,0.0,0.0,0.0,0,4.75,3750.0,1.0,0.0,1,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3318.18,0,39.0914
5774315552941,Restaurante Brasileiro,85000.0,16500.0,0.0,0.0,0.0,40.0,4,4.25,250.0,1.0,0.0,1,1,0,230.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1880.3,0,23.4832
5774738620589,Japonês & Chinês & Asiático,17500.0,16500.0,1.0,3.0,0.0,350.0,5,0.0,0.0,0.0,0.0,0,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,387.12,0,0.0
5780193214637,Doces & Confeitaria,150000.0,16500.0,0.0,0.0,0.0,150.0,5,4.25,150.0,1.0,0.0,1,1,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3318.18,0,21.3234
5783618650285,Restaurante Brasileiro,85000.0,6500.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,1,1,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4773.08,0,0.0
5784788140205,Padaria,600.0,16500.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,213.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,47,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13.27,0,0.0
5785204981933,Padaria,4000.0,16500.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,88.48,0,0.0
5786529136813,Restaurante Brasileiro,9000.0,6500.0,4.0,0.0,1.0,40.0,3,4.25,400.0,1.0,0.0,1,1,0,206.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2,505.38,0,25.4743
5790229463213,Hambúrguer,150000.0,6500.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,230.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,56,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,8423.08,0,0.0
